id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Incertae_Sedis;g__Incertae_Sedis	Burn	2.39638957114557	0.038223702657346	0.70356238772324	BS	C_album
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella	Burn	2.2215158095311	0.0116708370830696	0.595548158752478	BS	C_album
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	Burn	-1.427442475781	4.0469206989121E-07	0.244942309368698	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	Burn	-2.27349779587695	4.12447135528769E-05	0.455690860498422	BS	C_album
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	Burn	-2.75879866089129	0.0046240631935507	0.694484240372382	BS	C_album
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Incertae_Sedis	Burn	-1.99929476279544	0.0030645432977435	0.490878120558696	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	Burn	-1.34560970370417	0.0282921142525022	0.384852903807077	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis	Burn	-4.10723217062342	8.01099842626573E-12	0.552759390212489	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter	Burn	3.6529246742588	0.0073859603389697	0.947412431401562	BS	C_album
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	Burn	-1.11407865256923	9.22739408529539E-07	0.196013303584367	BS	C_album
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	Burn	2.36114754374663	0.0078767359135984	0.615514875488694	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora	Burn	-3.94760605460981	5.75673638970062E-07	0.684611848804633	BS	C_album
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	Burn	-2.33633528061775	9.73234911547285E-06	0.443843028543794	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes	Burn	-1.74122844605591	0.0110036392645104	0.464440405690788	BS	C_album
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-2.81990929307723	0.000106152891445339	0.58744578392337	BS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;__	Burn	3.6183069649598	4.1233579701652E-14	0.446706872656826	BS	C_album
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Rhodanobacter	Burn	-2.57851966082117	0.03432263295221	0.749572239257286	BS	C_album
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas	Burn	-4.44724978944954	4.11431930379805E-20	0.461328231554986	BS	C_album
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;__	Burn	3.55886831802335	2.89128448075052E-10	0.512910329926347	BS	C_album
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Incertae_Sedis;g__Incertae_Sedis	Burn	2.75572091461717	0.0068008253065014	0.708964454193925	RhS	C_album
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Rhodanobacter	Burn	-2.7856911560006	0.0216484419149779	0.775501947741468	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	Burn	-2.88929012826791	8.54621062616709E-06	0.546144434875256	RhS	C_album
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter	Burn	-2.18749822363876	0.0376290241257942	0.636435047409898	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis	Burn	-4.04176373134181	3.21143624847451E-11	0.558338947940978	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora	Burn	-4.47400383779373	3.77603574026134E-17	0.502217279397231	RhS	C_album
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-2.90307942068786	8.48320991237169E-05	0.59847049443886	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;__	Burn	3.94027030327102	1.47707528071201E-11	0.536427143831341	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	Burn	2.62963691348583	0.0046038076045033	0.660013515579295	RhS	C_album
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Luteibacter	Burn	-2.42560869842688	0.0331772056065319	0.69797101449622	RhS	C_album
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas	Burn	-4.26640032202176	7.09741879724552E-20	0.445288083722579	RhS	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella	Burn	-1.99492723181635	0.0433267835857011	0.586961564572629	Rt	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis	Burn	-4.21823585883246	1.39553670450478E-18	0.45555338682182	Rt	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora	Burn	-3.62828325037674	9.93496116033101E-08	0.600091109925287	Rt	C_album
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Terriglobales;f__Acidobacteriaceae_(Subgroup_1);g__Edaphobacter	Burn	-2.82382809469469	0.0016424967682755	0.669815738972652	Rt	C_album
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Plantibacter	Burn	3.1026017935073	0.023981024738707	0.871184550324478	Rt	C_album
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__Incertae_Sedis	Burn	-1.00785492103905	0.0082176658345991	0.267813768194509	BS	C_canadensis
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Incertae_Sedis	Burn	-0.95901152236587	0.0337935491294372	0.284551039059608	BS	C_canadensis
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__BIrii41;g__Incertae_Sedis	Burn	-2.66673345393738	2.03851279339101E-05	0.525318370315069	BS	C_canadensis
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae_Sedis;g__Incertae_Sedis	Burn	-1.4345417323668	3.38140845406885E-06	0.265108110262265	BS	C_canadensis
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia	Burn	-0.822902641737222	0.000926393877201173	0.191789836859434	BS	C_canadensis
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Niallia	Burn	-3.33919155720405	0.0150250200141853	0.929306342184159	BS	C_canadensis
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;__	Burn	-1.37953650568565	0.001867567438105	0.334203147908709	BS	C_canadensis
